Activity_ID,Student_ID,Activity_Type,Activity_Category,Frequency_of_Participation,Duration_per_Session (Hours),Impact_on_Performance,Teacher_Supervisor,Parental_Support
386410,35443,Music Band,Cultural,Daily,2.21,Positive,Michael Shelton,No
412053,35443,Debate Club,Academic,Daily,2.31,Positive,Kimberly Cummings,Yes
351756,35443,Jets Club,Academic,Weekly,2.77,Neutral,Kimberly Davis,Yes
179185,35443,Social Events Planning,Extracurricular,Weekly,2.46,Positive,Sandra Ortega,No
568091,48829,Science Practical Sessions,Academic,Bi-weekly,2.68,Neutral,Anthony Christensen,No
204992,48829,Music Band,Cultural,Weekly,2.87,Neutral,Douglas Brown,No
671989,39816,Chess,Sports,Weekly,2.89,Positive,Chase Garcia,No
661425,39816,Chemistry Lab Work,Academic,Daily,1.38,Neutral,Caroline Flynn,Yes
282255,39816,Cultural Day Rehearsals,Cultural,Bi-weekly,1.32,Positive,Joshua Gonzalez,No
866723,57301,Quiz Competition,Extracurricular,Monthly,1.72,Positive,Paul Hughes,No
227463,33519,Basketball,Sports,Weekly,2.22,Neutral,Mandy Walker,Yes
981953,33519,Jets Club,Academic,Daily,2.22,Positive,Joshua Rhodes,Yes
813263,33519,Music Band,Cultural,Daily,1.16,Neutral,Todd Mendoza,Yes
357460,33519,Music Band,Cultural,Daily,1.91,Negative,Lindsay Owens,No
635068,49618,Social Events Planning,Extracurricular,Monthly,1.87,Positive,Elizabeth Tucker,Yes
605563,49618,Music Band,Cultural,Bi-weekly,2.99,Negative,Andrew Gomez,No
184717,49618,Debate Club,Academic,Monthly,1.72,Negative,Mitchell Deleon,Yes
596908,49618,Music Band,Cultural,Weekly,1.59,Neutral,Joyce Hamilton,Yes
382060,11854,Scrabble,Sports,Daily,2.01,Positive,Shelby Johnson,Yes
785989,11854,Scrabble,Sports,Bi-weekly,1.7,Negative,Sara Flores,No
289061,26591,Traditional Dance,Cultural,Bi-weekly,1.33,Negative,Aaron Watson,Yes
901896,26591,Traditional Dance,Cultural,Bi-weekly,2.7,Neutral,Richard Molina,Yes
752440,26591,Football,Sports,Daily,1.53,Neutral,Marvin Cox,No
481019,45954,Music Band,Cultural,Daily,2.94,Negative,John Jensen,No
460832,45954,Music Band,Cultural,Bi-weekly,1.56,Positive,Rodney Greene,Yes
575549,15965,Jets Club,Academic,Weekly,1.84,Positive,Blake Gonzales,Yes
870033,15965,Social Events Planning,Extracurricular,Weekly,2.15,Positive,Audrey Fischer,No
625363,17146,Chess,Sports,Daily,2.81,Positive,Nicole Mathis,No
352201,17146,Science Practical Sessions,Academic,Weekly,2.65,Neutral,Jennifer Taylor,Yes
521239,82529,Basketball,Sports,Monthly,2.44,Negative,Jane Frank,Yes
670323,82529,Quiz Competition,Extracurricular,Weekly,1.69,Positive,Alexander Cox,Yes
317551,48290,Cultural Day Rehearsals,Cultural,Bi-weekly,2.86,Positive,Craig Mathis,Yes
650243,48290,Chemistry Lab Work,Academic,Bi-weekly,2.01,Positive,Dustin Haney,Yes
273930,48290,Scrabble,Sports,Monthly,1.7,Positive,Claudia Rios,Yes
852235,48290,Drama Club,Extracurricular,Monthly,2.71,Neutral,Donna James,Yes
172191,48290,Quiz Competition,Extracurricular,Bi-weekly,1.46,Negative,Richard Blackwell,Yes
284453,26551,Drama Club,Extracurricular,Monthly,1.38,Negative,Daniel Robinson V,No
813007,26551,Scrabble,Sports,Monthly,1.86,Positive,Robert Butler,No
201462,26551,Cultural Day Rehearsals,Cultural,Bi-weekly,1.25,Positive,Carrie Lambert,No
492789,26551,Mathematics Competitions,Academic,Bi-weekly,2.37,Negative,Jorge Rodriguez,Yes
516056,93606,Press Club,Extracurricular,Daily,2.66,Positive,Nancy Clark DVM,Yes
374655,93606,Mathematics Competitions,Academic,Daily,1.08,Neutral,Ryan Price,Yes
495426,93606,Science Practical Sessions,Academic,Daily,1.98,Negative,Krystal Watkins,Yes
606500,93606,Social Events Planning,Extracurricular,Monthly,1.46,Negative,Cindy Arnold,Yes
917270,74340,Football,Sports,Monthly,2.46,Positive,April Ramirez,Yes
330570,74340,Traditional Dance,Cultural,Monthly,2.54,Positive,Mr. Martin Morales,Yes
338040,74340,Cultural Day Rehearsals,Cultural,Weekly,2.93,Negative,Angela Cooper,Yes
289923,23446,Drama Club,Extracurricular,Daily,2.66,Negative,Brianna Friedman,No
722706,23446,Chemistry Lab Work,Academic,Monthly,2.31,Negative,Mathew Olson,No
160451,23446,Cultural Day Rehearsals,Cultural,Bi-weekly,1.13,Negative,Kyle Ramirez,No
145802,23446,Mathematics Competitions,Academic,Bi-weekly,2.1,Neutral,Amber Newton,No
818894,23446,Quiz Competition,Extracurricular,Weekly,1.57,Positive,Brandon Daniels,No
278613,11607,Music Band,Cultural,Bi-weekly,1.44,Negative,Christopher Castillo,No
643785,11607,Drama Club,Extracurricular,Weekly,1.83,Positive,Brandon Wilson,No
830357,11607,Music Band,Cultural,Monthly,2.88,Positive,Virginia Morales,Yes
156023,11607,Quiz Competition,Extracurricular,Weekly,1.63,Negative,Karen Byrd,Yes
651362,11607,Cultural Day Rehearsals,Cultural,Weekly,2.82,Positive,Rachel Acosta,Yes
788042,85243,Cultural Day Rehearsals,Cultural,Daily,2.11,Neutral,Kenneth Kline,No
709888,85243,Mathematics Competitions,Academic,Weekly,1.6,Neutral,Lori Brown,No
269061,47268,Music Band,Cultural,Daily,1,Negative,Brandy Henry,No
215740,47268,Chess,Sports,Weekly,1.61,Negative,Scott Gibbs,Yes
537789,47268,Athletics,Sports,Weekly,2.06,Neutral,Oscar Tran,No
660502,47268,Science Practical Sessions,Academic,Bi-weekly,1.27,Positive,Wendy Vance,Yes
109870,71524,Chess,Sports,Weekly,1.65,Negative,Johnathan Welch,Yes
817971,71524,Football,Sports,Daily,2.25,Positive,Sharon Edwards,No
355070,71524,Music Band,Cultural,Weekly,1.83,Negative,Jason Calderon,No
276331,71524,Traditional Dance,Cultural,Weekly,1.14,Neutral,Veronica Richardson,No
469517,72746,Music Band,Cultural,Monthly,2.26,Positive,Christopher Delacruz,Yes
534548,72746,Science Practical Sessions,Academic,Monthly,1.19,Neutral,Kyle Lynch,Yes
328504,67733,Press Club,Extracurricular,Monthly,2.56,Neutral,Justin Jones MD,Yes
321521,67733,Volleyball,Sports,Weekly,1.46,Negative,Melissa Lawrence,Yes
708973,67733,Athletics,Sports,Bi-weekly,2.36,Neutral,Amy Moreno,No
274786,67733,Scrabble,Sports,Weekly,2.94,Neutral,Ashley Clark,No
963290,54657,Mathematics Competitions,Academic,Bi-weekly,2.17,Positive,Billy Ritter,No
464966,54657,Debate Club,Academic,Bi-weekly,1.65,Positive,Michael Jackson,Yes
507914,54657,Cultural Day Rehearsals,Cultural,Daily,2.59,Negative,William Lee,No
226389,54657,Drama Club,Extracurricular,Daily,1.58,Negative,Dana Harrison,Yes
652477,34164,Social Events Planning,Extracurricular,Bi-weekly,2.04,Neutral,Kenneth Webster,Yes
147614,34164,Basketball,Sports,Bi-weekly,1.95,Negative,Lance Brown,No
599354,34164,Press Club,Extracurricular,Bi-weekly,2.18,Negative,Lindsay Brady,Yes
489620,16734,Social Events Planning,Extracurricular,Monthly,2.95,Negative,Faith Walker,No
828597,16734,Scrabble,Sports,Daily,2.24,Positive,Walter Dillon,No
813118,16734,Cultural Day Rehearsals,Cultural,Daily,1.59,Positive,Laurie Blake,No
229669,16734,Music Band,Cultural,Daily,2.06,Neutral,Samuel Kidd,Yes
328408,16734,Traditional Dance,Cultural,Monthly,1.22,Neutral,Brittany Bartlett,No
914948,43092,Press Club,Extracurricular,Bi-weekly,2.77,Positive,Gloria Kim,Yes
385557,43092,Music Band,Cultural,Weekly,2.3,Neutral,Kyle Singh,Yes
438345,43092,Chemistry Lab Work,Academic,Daily,2.05,Neutral,Sherry Soto,No
983994,43092,Quiz Competition,Extracurricular,Weekly,1.17,Positive,Dr. Dawn Snyder,Yes
541420,72616,Quiz Competition,Extracurricular,Monthly,1.49,Positive,Summer Rodriguez,Yes
837374,24953,Press Club,Extracurricular,Monthly,2.95,Neutral,Michelle Sullivan MD,Yes
830032,24953,Mathematics Competitions,Academic,Monthly,1.05,Negative,Cynthia George,Yes
475398,24953,Press Club,Extracurricular,Weekly,1.93,Neutral,Roger Cummings,Yes
681811,24953,Chess,Sports,Weekly,2.21,Neutral,David Edwards,No
328199,18564,Debate Club,Academic,Weekly,1.82,Negative,Lindsey Smith,Yes
909304,18564,Cultural Day Rehearsals,Cultural,Daily,1.69,Neutral,Linda Boyd,No
872672,18564,Football,Sports,Daily,2.56,Positive,Tyler Williams,No
715664,62521,Jets Club,Academic,Bi-weekly,2.07,Negative,Matthew Cox,Yes
926550,62521,Social Events Planning,Extracurricular,Monthly,2.62,Neutral,Julie Soto,Yes
864810,62521,Mathematics Competitions,Academic,Weekly,1.66,Negative,William Carr,No
284383,62521,Science Practical Sessions,Academic,Monthly,2.16,Neutral,Julia Fields,No
297323,74454,Music Band,Cultural,Bi-weekly,2.52,Negative,Tracy Frost,No
538867,19710,Athletics,Sports,Bi-weekly,2.94,Positive,Austin Wiley,Yes
326274,19710,Social Events Planning,Extracurricular,Bi-weekly,1.62,Neutral,Julie Villa,Yes
574817,19710,Jets Club,Academic,Weekly,2.9,Neutral,Michael Martinez,No
788770,19710,Music Band,Cultural,Monthly,1.73,Positive,Edward Smith,No
289015,19710,Quiz Competition,Extracurricular,Monthly,1.27,Neutral,Matthew Lucas,No
870677,85631,Basketball,Sports,Weekly,1.6,Neutral,Debra Barker,Yes
650723,85631,Scrabble,Sports,Weekly,1.58,Positive,Sara Perez,No
948694,85631,Jets Club,Academic,Monthly,1.68,Negative,Michael Sanchez,No
869151,92502,Social Events Planning,Extracurricular,Bi-weekly,1.46,Neutral,Erik Winters,Yes
198717,92502,Cultural Day Rehearsals,Cultural,Daily,1.38,Negative,Ariel Gibbs,No
404285,92502,Basketball,Sports,Weekly,1.97,Negative,Edward Stanton,Yes
994442,92502,Traditional Dance,Cultural,Bi-weekly,2.05,Positive,Michael Barnett,No
264984,92502,Basketball,Sports,Bi-weekly,1.23,Negative,Dana Copeland,No
485724,99974,Debate Club,Academic,Weekly,1.36,Negative,Kyle Gonzales,Yes
468089,99974,Traditional Dance,Cultural,Daily,2.25,Positive,Teresa Wilson,No
871582,99974,Quiz Competition,Extracurricular,Weekly,1.07,Negative,Mary Whitney,Yes
536761,17026,Scrabble,Sports,Monthly,1.11,Neutral,Aimee Lang MD,No
423935,17026,Press Club,Extracurricular,Bi-weekly,2.54,Positive,Corey Ryan DDS,No
301872,17026,Mathematics Competitions,Academic,Monthly,1.36,Positive,Francisco Rivas,Yes
240755,17026,Mathematics Competitions,Academic,Bi-weekly,1.14,Positive,Frederick Davis,No
764207,17026,Music Band,Cultural,Monthly,2.18,Neutral,Katie Summers,Yes
504271,29887,Basketball,Sports,Daily,1.27,Negative,Mary Underwood,Yes
174028,29555,Traditional Dance,Cultural,Weekly,2.12,Negative,Curtis Reyes,No
746450,83772,Football,Sports,Weekly,1.52,Negative,Paul Wheeler,No
283950,83772,Drama Club,Extracurricular,Daily,2.72,Negative,Tyler Allen,Yes
845668,83772,Press Club,Extracurricular,Monthly,2.1,Negative,Kevin Zuniga,Yes
543994,49824,Social Events Planning,Extracurricular,Weekly,1.84,Positive,Patricia Hudson,No
345081,21164,Drama Club,Extracurricular,Bi-weekly,2.96,Positive,James Carroll,Yes
197376,21164,Science Practical Sessions,Academic,Bi-weekly,1.93,Positive,Lori Weaver,No
891145,42530,Chess,Sports,Daily,2.02,Positive,Michael Houston,Yes
931572,42530,Mathematics Competitions,Academic,Monthly,1.24,Positive,Robert Martinez,No
785459,25525,Mathematics Competitions,Academic,Bi-weekly,1.62,Positive,Brittany Smith,No
545267,25525,Press Club,Extracurricular,Weekly,1.44,Positive,Kayla Lopez,Yes
530033,25525,Social Events Planning,Extracurricular,Daily,1.28,Neutral,Robert Craig,Yes
664970,25525,Social Events Planning,Extracurricular,Bi-weekly,2.84,Neutral,Tiffany Scott,No
595598,25525,Chess,Sports,Daily,2.1,Negative,Todd Rojas,Yes
499768,83147,Traditional Dance,Cultural,Weekly,2.41,Neutral,Logan Dennis,No
632393,83147,Cultural Day Rehearsals,Cultural,Daily,2.12,Neutral,Robert Cain,No
284264,64548,Cultural Day Rehearsals,Cultural,Monthly,2.99,Negative,Nicholas Thompson,Yes
750350,89471,Chess,Sports,Weekly,2.14,Neutral,Kristen Cooper,No
571614,89471,Traditional Dance,Cultural,Daily,1.26,Positive,Gerald Wall,No
705676,89471,Football,Sports,Daily,1.6,Positive,Carla Malone,Yes
686617,89471,Social Events Planning,Extracurricular,Daily,1.48,Neutral,Taylor Roman,Yes
491347,89471,Football,Sports,Weekly,2.05,Positive,Sherry Morse,No
984503,88135,Basketball,Sports,Bi-weekly,2.39,Neutral,Alejandra Hudson,Yes
945853,88135,Press Club,Extracurricular,Monthly,2.5,Positive,Shelly Henderson,Yes
442631,88135,Drama Club,Extracurricular,Monthly,1.8,Neutral,Kyle Franco,No
593170,88135,Science Practical Sessions,Academic,Weekly,2.3,Positive,Andrew Ellis,No
941553,88135,Drama Club,Extracurricular,Bi-weekly,1.05,Neutral,Christina Johnson,No
720670,91057,Football,Sports,Daily,2.06,Neutral,Gina Taylor,Yes
633367,91057,Cultural Day Rehearsals,Cultural,Daily,1.55,Neutral,Christy Hill,Yes
398636,91057,Debate Club,Academic,Weekly,1.14,Neutral,Lisa Morales,Yes
495618,91057,Football,Sports,Monthly,1.29,Negative,Jessica Cole,No
665071,39581,Drama Club,Extracurricular,Daily,2.34,Negative,Deanna Smith,No
834838,78494,Debate Club,Academic,Daily,2.21,Negative,Michael Wyatt,No
123329,78494,Social Events Planning,Extracurricular,Daily,1.15,Positive,Sharon Hamilton,No
153991,78494,Football,Sports,Bi-weekly,1.45,Positive,Dean Alexander,Yes
186020,59856,Press Club,Extracurricular,Weekly,2.79,Neutral,Victor Lewis,Yes
649033,69049,Athletics,Sports,Monthly,1.48,Neutral,Trevor Baldwin,No
569794,69049,Chess,Sports,Weekly,2.46,Negative,James Calderon,Yes
539176,68028,Scrabble,Sports,Daily,1.84,Positive,Gabriel Delgado,No
180293,68028,Cultural Day Rehearsals,Cultural,Weekly,1.01,Negative,Kathy Acevedo,Yes
819559,68028,Drama Club,Extracurricular,Weekly,1.79,Neutral,John Carter,Yes
690322,68028,Jets Club,Academic,Bi-weekly,2.65,Neutral,Melanie Harris,No
828020,68028,Mathematics Competitions,Academic,Bi-weekly,2.8,Neutral,Vincent Bishop,No
770733,48974,Music Band,Cultural,Daily,1.98,Negative,Ms. Erin Andrade,No
391754,48974,Press Club,Extracurricular,Weekly,2.16,Positive,Terry Brewer,Yes
919503,48974,Music Band,Cultural,Bi-weekly,1.87,Negative,Scott Ray,Yes
340465,48974,Press Club,Extracurricular,Daily,1.06,Neutral,Mr. Chad Joseph,No
377131,87139,Jets Club,Academic,Weekly,1.51,Positive,Rebecca Hamilton,Yes
594538,87139,Chemistry Lab Work,Academic,Weekly,1.28,Neutral,Kimberly Jackson,Yes
447218,87139,Press Club,Extracurricular,Monthly,1.54,Negative,Belinda Haley,No
985506,87139,Music Band,Cultural,Weekly,1.05,Neutral,Anthony Atkins,Yes
352410,87139,Music Band,Cultural,Bi-weekly,2.1,Neutral,Shelby Duarte,No
548614,66207,Drama Club,Extracurricular,Monthly,2.93,Negative,Nicole Baxter,No
415468,66207,Music Band,Cultural,Daily,1.66,Positive,Rachel Soto,No
897537,66207,Volleyball,Sports,Weekly,2.96,Positive,Kelly Roberts,Yes
356370,66207,Athletics,Sports,Weekly,2.82,Negative,Jennifer Hansen,No
154285,66207,Quiz Competition,Extracurricular,Daily,1.95,Neutral,Christina Hunt,Yes
331457,50026,Scrabble,Sports,Daily,1.39,Negative,Ryan Johnson,No
183326,50026,Drama Club,Extracurricular,Daily,1.02,Positive,Brenda Dunn,No
495703,50026,Cultural Day Rehearsals,Cultural,Monthly,1.95,Positive,Angela Drake,Yes
780024,50026,Music Band,Cultural,Monthly,1.61,Positive,Peter Day,Yes
628183,50026,Mathematics Competitions,Academic,Monthly,2.66,Neutral,Brittany Oneill,Yes
842510,84531,Cultural Day Rehearsals,Cultural,Monthly,2.17,Negative,Gregory Bennett MD,Yes
326738,84531,Quiz Competition,Extracurricular,Monthly,2.94,Positive,Jason Williams,No
303741,84531,Traditional Dance,Cultural,Weekly,2.61,Neutral,Cindy Torres,Yes
394921,84531,Debate Club,Academic,Weekly,2.55,Neutral,Kurt Powell,No
918815,84531,Debate Club,Academic,Monthly,2.19,Neutral,Nicole Higgins,Yes
343929,91399,Music Band,Cultural,Daily,2.99,Positive,Benjamin Mccarty,Yes
305705,91399,Quiz Competition,Extracurricular,Bi-weekly,1.92,Positive,Jeremiah Fisher,Yes
599937,91399,Quiz Competition,Extracurricular,Monthly,1.47,Neutral,Natalie Williams,No
330519,17894,Science Practical Sessions,Academic,Weekly,2.61,Neutral,Stacey Turner,Yes
474685,17894,Scrabble,Sports,Monthly,2.7,Positive,Stephen Thompson,No
533561,17894,Cultural Day Rehearsals,Cultural,Daily,1.96,Neutral,Jasmine Hahn,Yes
566088,17894,Volleyball,Sports,Weekly,1.75,Positive,Melissa Hicks,Yes
681192,17894,Quiz Competition,Extracurricular,Monthly,1.46,Positive,Lisa Cervantes,Yes
377837,89905,Volleyball,Sports,Weekly,1.8,Positive,Tracy Trevino,Yes
743066,89905,Music Band,Cultural,Bi-weekly,1.29,Neutral,Dustin Allen,Yes
399116,23006,Chemistry Lab Work,Academic,Daily,1.27,Positive,Michelle Taylor,Yes
471344,23006,Press Club,Extracurricular,Daily,2.44,Positive,Jill Stevens,No
366076,37235,Cultural Day Rehearsals,Cultural,Monthly,1.29,Neutral,Sheila Rivers,No
922092,37235,Traditional Dance,Cultural,Daily,1.27,Neutral,James Barnes,Yes
598408,37235,Quiz Competition,Extracurricular,Monthly,2.39,Positive,Derek Hernandez,No
603335,91987,Traditional Dance,Cultural,Weekly,2.29,Neutral,Henry Parker,Yes
566775,91987,Football,Sports,Weekly,2.5,Positive,Edward Jones,Yes
891025,91987,Basketball,Sports,Monthly,1.52,Positive,Daniel Waters,Yes
162280,91987,Cultural Day Rehearsals,Cultural,Bi-weekly,2.28,Neutral,Amy Johnson,No
852486,37659,Athletics,Sports,Daily,2.08,Positive,Samuel Rodgers,No
934990,37659,Cultural Day Rehearsals,Cultural,Monthly,2.67,Negative,James Barber,Yes
257302,37659,Drama Club,Extracurricular,Weekly,1.19,Negative,Dylan Baker,No
356026,44687,Football,Sports,Bi-weekly,1.23,Positive,Tina Cook,No
789150,44687,Traditional Dance,Cultural,Monthly,1.18,Neutral,David Mckay,Yes
310013,44687,Quiz Competition,Extracurricular,Daily,2.26,Positive,Beverly Jenkins,Yes
133440,96563,Athletics,Sports,Weekly,1.74,Negative,Suzanne Lambert,No
114133,96563,Scrabble,Sports,Monthly,1.36,Neutral,Amanda Owens,No
997022,20641,Science Practical Sessions,Academic,Monthly,2.42,Negative,Dr. Andrea Fitzgerald PhD,Yes
713327,20641,Chemistry Lab Work,Academic,Weekly,2.7,Negative,Mary Summers MD,No
729152,20641,Scrabble,Sports,Monthly,1.93,Positive,Linda Bradley,No
871330,20641,Science Practical Sessions,Academic,Monthly,2.41,Positive,Ernest Miller,Yes
674219,30585,Volleyball,Sports,Daily,1.45,Positive,Stephen Shaw,Yes
885253,41439,Athletics,Sports,Bi-weekly,1.45,Neutral,Rachel Hill,No
547097,41439,Quiz Competition,Extracurricular,Weekly,2.64,Neutral,Nicholas Ruiz,No
545697,32782,Jets Club,Academic,Monthly,1.95,Negative,Kayla Duran,Yes
528199,32782,Football,Sports,Monthly,1.44,Neutral,Maureen Ramirez,Yes
583978,32782,Quiz Competition,Extracurricular,Monthly,2.84,Positive,Jennifer Lambert,Yes
919958,32782,Traditional Dance,Cultural,Bi-weekly,2.38,Neutral,Kimberly Thomas,No
743941,82350,Cultural Day Rehearsals,Cultural,Daily,2.19,Neutral,Jake Anderson,No
523746,82350,Mathematics Competitions,Academic,Weekly,2.16,Positive,Kyle Brooks,Yes
652341,19838,Debate Club,Academic,Daily,2.48,Positive,Andrea Higgins,Yes
835454,19838,Mathematics Competitions,Academic,Bi-weekly,1.4,Negative,David Blair,No
702146,19838,Debate Club,Academic,Weekly,2.25,Positive,Kathleen Odonnell,Yes
996915,30517,Scrabble,Sports,Weekly,2.31,Positive,Donald Olson,No
353723,30517,Volleyball,Sports,Bi-weekly,2.28,Negative,Jennifer Melendez,Yes
170344,30517,Debate Club,Academic,Weekly,2.43,Neutral,Henry Robinson,Yes
192525,30517,Mathematics Competitions,Academic,Bi-weekly,2.67,Negative,Jamie Parker,Yes
422466,30517,Social Events Planning,Extracurricular,Monthly,2.59,Neutral,David Arnold,Yes
978715,10350,Social Events Planning,Extracurricular,Monthly,2.38,Neutral,Jesse Yang,Yes
456079,10350,Traditional Dance,Cultural,Monthly,2.02,Positive,Jesse Hancock,Yes
967815,63545,Cultural Day Rehearsals,Cultural,Weekly,2.66,Positive,Cole Obrien,No
395725,63545,Social Events Planning,Extracurricular,Monthly,1.56,Positive,Timothy Francis,No
804850,63545,Quiz Competition,Extracurricular,Weekly,2.48,Positive,Nathan Logan,Yes
604208,63545,Basketball,Sports,Bi-weekly,1.73,Positive,Sara Gay,No
663369,69048,Mathematics Competitions,Academic,Weekly,2.68,Positive,Melanie Fischer,No
526023,69048,Football,Sports,Weekly,1.87,Neutral,Timothy Lin,Yes
602337,69048,Music Band,Cultural,Daily,1.34,Positive,Damon Montes,No
484270,69048,Football,Sports,Monthly,1.71,Positive,Michael Smith,Yes
472602,87832,Drama Club,Extracurricular,Bi-weekly,2.96,Positive,Christina Lester,Yes
538732,87832,Drama Club,Extracurricular,Monthly,1.84,Neutral,Kimberly Miller,No
320240,71592,Chess,Sports,Monthly,1.96,Neutral,Taylor Parsons,Yes
482394,48175,Music Band,Cultural,Daily,1.52,Positive,Melissa Burns,No
731575,48175,Football,Sports,Monthly,2.6,Neutral,Shawn Roman,No
160697,48175,Cultural Day Rehearsals,Cultural,Monthly,1.38,Neutral,Kelly Mccarthy,No
810322,48175,Football,Sports,Daily,2.59,Positive,Angela Jackson,No
680911,48175,Drama Club,Extracurricular,Bi-weekly,1.49,Negative,Erin Aguirre,No
980282,14278,Chemistry Lab Work,Academic,Monthly,2.62,Positive,Sharon Bennett,No
461928,14278,Chemistry Lab Work,Academic,Weekly,2.81,Positive,Cassandra Medina,No
995289,40340,Press Club,Extracurricular,Weekly,2.72,Negative,Daniel Patel,Yes
699722,40340,Drama Club,Extracurricular,Monthly,1.59,Positive,Steven Cannon,Yes
867913,47762,Mathematics Competitions,Academic,Weekly,2.76,Positive,Craig Patel,No
958914,47762,Scrabble,Sports,Monthly,1.55,Positive,James Green,Yes
837754,47762,Jets Club,Academic,Weekly,1.27,Negative,Rose Collins,No
264611,47056,Scrabble,Sports,Weekly,2.59,Neutral,Lee Wood,Yes
585816,69510,Drama Club,Extracurricular,Monthly,1.52,Positive,Dana Hines,No
154549,69510,Drama Club,Extracurricular,Weekly,2.23,Neutral,Nancy Garcia,No
166389,69510,Cultural Day Rehearsals,Cultural,Weekly,2.71,Neutral,Brittney Conway,Yes
409531,69510,Press Club,Extracurricular,Daily,2.23,Negative,Brandon Cummings,Yes
192401,19329,Traditional Dance,Cultural,Bi-weekly,1.05,Negative,Bradley Andrade,Yes
473668,19329,Chemistry Lab Work,Academic,Bi-weekly,2.78,Positive,Samuel Farley,No
436307,19329,Music Band,Cultural,Weekly,1.44,Neutral,Colton Stokes,No
411251,40595,Press Club,Extracurricular,Weekly,2.82,Neutral,Jeremy Miller,No
846806,44675,Volleyball,Sports,Bi-weekly,2.75,Negative,Anthony Cooke,No
876367,44675,Press Club,Extracurricular,Weekly,2.46,Neutral,Louis Turner,Yes
905362,91927,Quiz Competition,Extracurricular,Monthly,2.5,Neutral,Jesus Figueroa,Yes
842308,91927,Cultural Day Rehearsals,Cultural,Daily,2.65,Negative,Paul Torres,No
418322,87304,Quiz Competition,Extracurricular,Monthly,2.62,Neutral,Justin Beltran,No
726666,87304,Chess,Sports,Bi-weekly,2.43,Positive,Brenda Mcmillan,Yes
999349,87304,Traditional Dance,Cultural,Daily,1.21,Neutral,Debra Hernandez,Yes
537231,96662,Mathematics Competitions,Academic,Weekly,2.6,Neutral,Bradley Montgomery,No
869384,96662,Debate Club,Academic,Bi-weekly,1.62,Negative,Allison Bonilla,No
828523,96662,Debate Club,Academic,Bi-weekly,2.25,Negative,Vickie James,Yes
745775,96662,Volleyball,Sports,Monthly,1.15,Negative,Anthony Molina,No
981015,35928,Drama Club,Extracurricular,Weekly,2.28,Neutral,Monica Fields,Yes
267811,65723,Drama Club,Extracurricular,Bi-weekly,2.42,Positive,Brandi Singh,Yes
524146,65723,Science Practical Sessions,Academic,Daily,1.69,Neutral,Jennifer Gordon,No
232063,25043,Volleyball,Sports,Daily,1.84,Negative,Bradley Cochran,Yes
473124,25043,Science Practical Sessions,Academic,Monthly,2.4,Negative,Jennifer Santos,No
499537,25043,Chemistry Lab Work,Academic,Monthly,2.56,Negative,Laura James,Yes
253103,81376,Quiz Competition,Extracurricular,Bi-weekly,1.83,Neutral,Cory Nelson,Yes
700766,81376,Social Events Planning,Extracurricular,Monthly,2.11,Neutral,Michelle Reese,No
111662,81376,Quiz Competition,Extracurricular,Monthly,1.27,Positive,David Bates,No
764949,39466,Science Practical Sessions,Academic,Monthly,1.04,Positive,Taylor Schultz,No
616189,94886,Social Events Planning,Extracurricular,Monthly,1.92,Negative,Casey Burton,No
151544,94886,Chemistry Lab Work,Academic,Weekly,1.1,Neutral,Brooke Johnson,No
776738,94886,Traditional Dance,Cultural,Monthly,1.89,Negative,Susan Adams,No
456096,94886,Cultural Day Rehearsals,Cultural,Bi-weekly,2.45,Positive,Nancy King,Yes
300670,94886,Music Band,Cultural,Monthly,2.76,Positive,Teresa Thomas,No
466632,29528,Press Club,Extracurricular,Bi-weekly,1.36,Neutral,George Santana,Yes
950816,29528,Traditional Dance,Cultural,Daily,2.07,Neutral,Michael Hunt,Yes
941840,44816,Press Club,Extracurricular,Monthly,2.27,Negative,Michelle Hernandez,No
762440,44816,Jets Club,Academic,Daily,2.56,Negative,Jennifer Shaffer,No
146051,44816,Football,Sports,Monthly,1.14,Positive,Allen Moody,No
972156,44816,Cultural Day Rehearsals,Cultural,Monthly,2.95,Neutral,Adam Logan,No
988351,28643,Mathematics Competitions,Academic,Bi-weekly,2.82,Positive,John Hayes,Yes
943729,28643,Drama Club,Extracurricular,Daily,1.37,Positive,William Church,No
143681,28643,Social Events Planning,Extracurricular,Weekly,2.29,Neutral,Allison Harrell,No
765388,19359,Cultural Day Rehearsals,Cultural,Monthly,1.91,Positive,Monica Wagner,Yes
556813,17816,Social Events Planning,Extracurricular,Bi-weekly,1.01,Negative,Michael Harris,No
198323,17816,Jets Club,Academic,Monthly,1.63,Positive,Erin Randall,No
552371,17816,Debate Club,Academic,Bi-weekly,1.98,Positive,Connie Hansen,No
656629,17816,Cultural Day Rehearsals,Cultural,Monthly,2.34,Positive,Kayla Luna,Yes
499420,31747,Scrabble,Sports,Monthly,2.42,Negative,Michael Pruitt,No
743136,31747,Cultural Day Rehearsals,Cultural,Bi-weekly,1.87,Positive,Cynthia Harris,No
791013,31747,Press Club,Extracurricular,Daily,2.24,Negative,Jennifer Anderson,No
244758,31747,Mathematics Competitions,Academic,Monthly,2.6,Neutral,Allison Davis,Yes
202432,50319,Music Band,Cultural,Bi-weekly,2.38,Neutral,Sheena Hawkins,No
109564,50319,Debate Club,Academic,Daily,2.31,Negative,Karen Lawrence,Yes
